,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
2-5-20-0.5,100,10,124,76,0.0,0,0.0,0.0,26.720000,26.720,245,118,127,0.0,0,0.0,0.0,26.720000,26.720,253,121,132,0.0,0,0.0,0.0,26.720000,26.720,274,118,126,30,0.0,0,0.0,0.0,26.720000,26.720,261,116,125,20
3-5-20-0.5,100,10,116,100,0.1,14,0.0,0.1,25.633333,25.633,297,136,161,0.1,8,0.0,0.0,25.633333,25.633,285,138,147,0.0,0,0.0,0.0,25.633333,25.633,341,135,126,80,0.0,0,0.0,0.0,25.633333,25.633,338,136,124,78
4-5-20-0.5,100,20,106,56,0.0,1,0.0,0.0,35.420000,35.420,295,142,153,0.1,0,0.0,0.0,35.420000,35.420,293,140,153,0.0,1,0.0,0.0,35.420000,35.420,341,141,150,50,0.0,0,0.0,0.0,35.420000,35.420,315,139,152,24
5-5-20-0.5,100,33,130,114,0.0,3,0.0,0.0,62.111111,62.111,290,154,136,0.1,0,0.0,0.0,62.111111,62.111,284,143,141,0.0,0,0.0,0.0,62.111111,62.111,355,150,131,74,0.0,0,0.0,0.0,62.111111,62.111,326,143,135,48
6-5-20-0.5,200,5,296,430,0.0,0,0.0,0.0,30.133333,30.133,479,234,245,0.0,0,0.0,0.0,30.133333,30.133,473,228,245,0.0,0,0.0,0.0,30.133333,30.133,525,234,245,46,0.0,0,0.0,0.0,30.133333,30.133,495,228,245,22
7-5-20-0.5,200,10,292,592,0.1,3,0.0,0.0,50.325778,50.326,610,305,305,0.1,0,0.0,0.0,50.325778,50.326,574,275,299,0.1,0,0.0,0.0,50.325778,50.326,718,274,268,176,0.1,0,0.0,0.0,50.325778,50.326,700,269,273,158
8-5-20-0.5,200,20,278,418,0.1,0,0.0,0.0,69.660296,69.660,585,283,302,0.1,0,0.0,0.0,69.660296,69.660,569,274,295,0.1,0,0.0,0.0,69.660296,69.660,705,283,274,148,0.0,0,0.0,0.0,69.660296,69.660,650,274,276,100
9-5-20-0.5,200,40,302,502,0.4,175,0.0,0.2,117.590074,117.590,755,379,376,0.3,140,0.0,0.2,117.590074,117.590,723,355,368,0.2,7,0.0,0.0,117.590074,117.590,973,354,283,336,0.1,3,0.0,0.0,117.590074,117.590,934,343,289,302
10-5-20-0.5,200,67,328,900,2.9,1235,0.0,0.4,157.894001,157.894,1014,516,498,1.8,604,0.0,0.4,157.894001,157.894,944,478,466,0.3,17,0.0,0.1,157.894001,157.894,1396,437,281,678,0.3,33,0.0,0.0,157.894001,157.894,1206,411,289,506
11-5-20-0.5,300,5,534,2358,0.2,8,0.0,0.1,62.079704,62.080,948,478,470,0.2,2,0.0,0.0,62.079704,62.080,942,445,497,0.1,0,0.0,0.0,62.079704,62.080,1141,438,404,299,0.1,0,0.0,0.0,62.079704,62.080,1126,427,410,289
12-5-20-0.5,300,10,474,1654,0.3,44,0.0,0.5,79.628889,79.629,1011,470,541,0.3,22,0.0,0.4,79.628889,79.629,1003,453,550,0.2,0,0.0,0.0,79.628889,79.629,1194,443,441,310,0.1,0,0.0,0.0,79.628889,79.629,1182,438,446,298
13-5-20-0.5,300,30,500,2004,9.2,1607,0.0,0.7,152.751872,152.752,1811,901,910,3.6,1232,0.0,0.6,152.751872,152.752,1545,761,784,0.8,24,0.0,0.1,152.751872,152.752,2481,704,529,1248,0.7,23,0.0,0.1,152.751872,152.752,2289,698,605,986
