,,,,,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,r,R,theta,p_s,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
3-1-20-0.2-0.1,100,10,1,20,0.2,0.1,106,110,6.5,1982,0.0,1.2,15.412720,15.413,305,134,171,0.9,504,0.0,1.1,15.412720,15.413,320,136,184,0.7,33,0.0,0.6,15.412720,15.413,495,127,134,234,0.2,29,0.0,0.4,15.412720,15.413,392,126,136,130
3-1-20-0.2-0.2,100,10,1,20,0.2,0.2,106,110,0.8,1000,0.0,2.2,17.644800,17.645,328,135,193,1.1,1988,0.0,1.9,17.644800,17.645,335,135,200,0.1,35,0.0,0.6,17.644800,17.645,482,133,149,200,0.2,19,0.0,0.6,17.644800,17.645,400,127,141,132
3-1-20-0.2-0.5,100,10,1,20,0.2,0.5,106,110,0.2,219,0.0,2.0,24.400000,24.400,307,134,173,0.1,20,0.0,0.9,24.400000,24.400,290,126,164,0.1,8,0.0,0.3,24.400000,24.400,433,126,147,160,0.1,5,0.0,0.2,24.400000,24.400,409,127,150,132
3-2-20-0.01-0.1,100,10,2,20,0.01,0.1,106,110,0.3,475,0.0,1.9,15.558241,15.558,301,133,168,1.6,1383,0.0,1.6,15.558241,15.558,289,128,161,0.4,17,0.0,0.5,15.558241,15.558,419,129,138,152,0.2,14,0.0,0.4,15.558241,15.558,435,125,132,178
3-2-20-0.01-0.2,100,10,2,20,0.01,0.2,106,110,0.3,592,0.0,2.8,17.873536,17.874,333,142,191,1.1,1976,0.0,2.9,17.873536,17.874,319,134,185,0.7,24,0.0,0.7,17.873536,17.874,552,126,137,289,0.5,25,0.0,0.8,17.873536,17.874,447,129,136,182
3-2-20-0.01-0.5,100,10,2,20,0.01,0.5,106,110,0.9,2331,0.0,3.7,24.613750,24.614,325,145,180,4.3,1499,0.0,3.0,24.613750,24.614,308,132,176,0.3,28,0.0,0.8,24.613750,24.614,482,127,145,210,0.3,23,0.0,0.7,24.613750,24.614,484,128,142,214
3-2-20-0.1-0.1,100,10,2,20,0.1,0.1,106,110,2.0,1979,0.0,1.7,15.489310,15.489,329,134,195,0.7,1006,0.0,2.0,15.489310,15.489,304,123,181,0.1,13,0.0,0.5,15.489310,15.489,469,127,130,212,0.1,29,0.0,0.6,15.489310,15.489,459,126,131,202
3-2-20-0.1-0.2,100,10,2,20,0.1,0.2,106,110,0.7,1007,0.0,2.8,17.757760,17.758,338,141,197,0.8,1500,0.0,2.4,17.757760,17.758,320,131,189,0.5,35,0.0,1.0,17.757760,17.758,487,125,142,220,0.1,27,0.0,0.7,17.757760,17.758,445,125,140,180
3-2-20-0.1-0.5,100,10,2,20,0.1,0.5,106,110,0.9,842,0.0,3.0,24.512500,24.512,324,134,190,0.1,17,0.0,0.6,24.512500,24.512,306,127,179,0.6,1181,0.0,0.6,24.512500,24.512,510,133,147,230,0.1,16,0.0,0.3,24.512500,24.512,462,129,153,180
3-2-20-0.2-0.1,100,10,2,20,0.2,0.1,106,110,1.5,1982,0.0,1.2,15.412720,15.413,305,134,171,1.6,504,0.0,1.1,15.412720,15.413,320,136,184,0.6,33,0.0,0.6,15.412720,15.413,495,127,134,234,0.1,29,0.0,0.4,15.412720,15.413,392,126,136,130
3-2-20-0.2-0.2,100,10,2,20,0.2,0.2,106,110,0.8,1000,0.0,2.2,17.644800,17.645,328,135,193,3.2,1988,0.0,1.9,17.644800,17.645,335,135,200,2.0,35,0.0,0.6,17.644800,17.645,482,133,149,200,0.2,19,0.0,0.6,17.644800,17.645,400,127,141,132
