,,,,,B&C-B,,,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#ProdSM,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
18-5-20-0.5,400,40,738,4070,TL,218681,0.2,1.6,233.791103,234.282,0,1,6569,2067,4502,57.7,2595,0.0,0.4,233.813585,233.814,0,1,6384,1269,1003,4112
19-5-20-0.5,400,80,816,4932,TL,84703,0.3,0.7,317.451211,318.252,0,1,7179,2011,5168,28.4,1138,0.0,0.1,317.623692,317.624,0,1,6176,1326,1138,3712
20-5-20-0.5,400,133,760,4170,TL,44299,0.4,0.7,362.361522,363.723,0,1,5949,1699,4250,69.6,3733,0.0,0.2,362.508890,362.509,0,1,7736,1385,1011,5340
21-5-20-0.5,500,5,1186,12832,1.9,7,0.0,0.1,146.176000,146.176,0,1,2627,1204,1423,0.4,0,0.0,0.0,146.176000,146.176,0,1,2241,843,799,599
22-5-20-0.5,500,10,1090,9960,11.6,250,0.0,1.7,174.861566,174.862,0,1,3904,1703,2201,2.6,25,0.0,0.5,174.861566,174.862,0,1,4229,1323,1072,1834
23-5-20-0.5,500,50,1196,11222,TL,48037,1.1,2.0,354.126476,357.959,0,1,14113,3842,10271,219.1,2370,0.0,0.4,354.872908,354.873,0,1,10892,2112,1626,7154
24-5-20-0.5,500,100,1174,11328,TL,12450,0.7,1.1,430.263972,433.401,0,1,12589,3078,9511,228.2,6213,0.0,0.2,430.742470,430.742,0,1,10002,2082,1834,6086
25-5-20-0.5,500,167,1258,13962,TL,13435,0.3,0.5,475.946385,477.586,0,1,8309,2225,6084,1385.7,65151,0.0,0.1,476.075149,476.075,0,1,7910,1725,1121,5064
26-5-20-0.5,600,5,1706,30160,14.8,133,0.0,3.2,214.314949,214.315,0,1,6475,2717,3758,4.3,21,0.0,0.6,214.314949,214.315,0,1,5401,1992,1681,1728
27-5-20-0.5,600,10,1764,32768,TL,61578,0.8,4.8,290.873741,293.341,0,1,32290,5262,27028,86.9,762,0.0,1.2,290.939435,290.939,0,1,11662,2761,2894,6007
28-5-20-0.5,600,60,1716,33584,TL,5174,1.9,2.2,485.042589,494.180,0,1,18945,4593,14352,TL,102688,0.2,0.5,487.053155,488.160,0,1,16027,3507,3024,9496
29-5-20-0.5,600,120,1714,28968,TL,6630,1.5,1.6,545.108910,553.110,0,1,11641,3327,8314,TL,71179,0.1,0.3,547.830960,548.632,0,1,11702,2526,1970,7206
30-5-20-0.5,600,200,1570,21010,TL,10440,0.2,0.3,583.362475,584.439,0,1,6185,1713,4472,TL,185413,0.0,0.1,583.461287,583.550,0,1,8470,1980,1336,5154
31-5-20-0.5,700,5,2542,64420,117.7,729,0.0,5.9,302.451760,302.452,0,1,14385,4636,9749,22.1,99,0.0,2.3,302.451760,302.452,0,1,10551,3313,2147,5091
32-5-20-0.5,700,10,2218,50474,TL,51510,1.0,4.1,357.420641,361.132,0,1,29681,5672,24009,13.9,96,0.0,0.6,357.832329,357.832,0,1,7536,2676,2059,2801
33-5-20-0.5,700,70,2268,49250,TL,2042,2.0,2.2,597.383736,609.118,0,1,21301,5311,15990,TL,68008,0.1,0.3,600.674412,601.300,0,1,15568,3929,3411,8228
34-5-20-0.5,700,140,2450,58282,TL,5420,0.7,0.7,663.994420,668.375,0,1,11121,2904,8217,2958.8,79569,0.0,0.1,665.470867,665.471,0,1,8109,2507,1680,3922
