,,,,,B&C-B,,,,,,,,,B&C-I,,,,,,,,,,
id,|V|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,#Cut,T,N,Gap(%),RGap(%),Obj,UB,#CL,mCL,#Cut,#EOA,#LS
27-5-20-0.5,600,10,1764,32768,TL,71963,0.8,5.2,290.874,293.104,0,1,32290,90.7,793,0.0,1.4,290.939,290.939,0,1,7504,2392,2536
28-5-20-0.5,600,60,1716,33584,TL,5386,1.9,2.5,484.817,494.158,0,1,18600,TL,72020,0.1,1.1,487.129,487.862,0,1,11113,2880,4860
29-5-20-0.5,600,120,1714,28968,TL,6705,1.5,1.9,545.109,553.110,0,1,11641,TL,166565,0.1,1.1,547.933,548.726,0,1,8947,2327,3888
30-5-20-0.5,600,200,1570,21010,TL,10440,0.2,0.7,583.362,584.438,0,1,6185,TL,235573,0.0,0.6,583.478,583.499,0,1,5985,1342,2589
31-5-20-0.5,700,5,2542,64420,133.8,729,0.0,6.0,302.452,302.452,0,1,14385,29.7,102,0.0,2.3,302.452,302.452,0,1,8161,2121,2786
32-5-20-0.5,700,10,2218,50474,TL,58354,1.0,4.2,357.421,360.845,0,1,29844,27.0,88,0.0,0.7,357.832,357.832,0,1,6079,2040,1353
33-5-20-0.5,700,70,2268,49250,TL,1942,1.9,2.3,597.489,609.118,0,1,21501,TL,82688,0.1,0.6,600.609,601.256,0,1,10597,3266,3664
34-5-20-0.5,700,140,2450,58282,TL,4828,0.7,0.9,663.809,668.378,0,1,10626,3156.8,114583,0.0,0.5,665.471,665.471,0,1,5875,1586,1875
35-5-20-0.5,800,5,3424,143422,851.4,1184,0.0,6.2,432.061,432.061,0,1,27950,24.8,45,0.0,1.2,432.061,432.061,0,1,6289,2480,1103
36-5-20-0.5,800,10,3052,91980,TL,11279,4.1,6.4,451.929,470.649,0,1,47913,1404.2,1959,0.0,1.8,453.183,453.183,0,1,12049,3051,4801
37-5-20-0.5,800,80,2762,71842,TL,2523,1.4,1.6,701.992,711.564,0,1,18410,TL,95872,0.1,0.6,704.117,704.980,0,1,8983,3416,2365
38-5-20-0.5,900,5,4520,224438,TL,3543,4.2,7.7,526.065,547.890,0,1,89155,117.5,247,0.0,2.5,526.270,526.270,0,1,10145,3417,2586
39-5-20-0.5,900,10,4450,227826,TL,3557,3.0,4.3,637.377,656.418,0,1,45891,127.8,282,0.0,0.7,637.701,637.701,0,1,8310,3439,1374
40-5-20-0.5,900,90,3552,140956,TL,1268,1.1,1.2,822.689,832.182,0,1,17688,TL,77237,<0.1,0.5,825.435,826.005,0,1,7976,2791,1778
1-5-20-0.8,100,5,114,64,0.0,0,0.0,0.0,14.600,14.600,0,1,216,0.1,0,0.0,0.0,14.600,14.600,0,1,234,115,8
2-5-20-0.8,100,10,124,76,0.1,0,0.0,0.0,26.648,26.648,0,1,250,0.0,0,0.0,0.0,26.648,26.648,0,1,245,121,8
3-5-20-0.8,100,10,116,100,0.4,0,0.0,0.0,25.613,25.613,0,1,290,0.3,0,0.0,0.0,25.613,25.613,0,1,281,128,23
4-5-20-0.8,100,20,106,56,0.1,0,0.0,0.0,35.408,35.408,0,1,340,0.0,0,0.0,0.0,35.408,35.408,0,1,284,143,6
5-5-20-0.8,100,33,130,114,0.1,0,0.0,0.0,62.004,62.004,0,1,293,0.0,0,0.0,0.0,62.004,62.004,0,1,304,131,25
6-5-20-0.8,200,5,296,430,0.0,0,0.0,0.0,30.133,30.133,0,1,460,0.1,0,0.0,0.0,30.133,30.133,0,1,487,246,11
7-5-20-0.8,200,10,292,592,0.1,0,0.0,0.0,50.206,50.206,0,1,521,0.1,0,0.0,0.0,50.206,50.206,0,1,573,262,45
8-5-20-0.8,200,20,278,418,0.1,0,0.0,0.0,69.544,69.544,0,1,543,0.1,0,0.0,0.0,69.544,69.544,0,1,585,279,33
9-5-20-0.8,200,40,302,502,0.6,6,0.0,0.3,117.076,117.076,0,1,908,0.4,2,0.0,0.0,117.076,117.076,0,1,705,292,91
10-5-20-0.8,200,67,328,900,1.2,7,0.0,0.8,157.131,157.131,0,1,1285,0.2,3,0.0,0.0,157.131,157.131,0,1,824,296,162
11-5-20-0.8,300,5,534,2358,0.2,0,0.0,0.0,61.632,61.632,0,1,869,0.2,0,0.0,0.0,61.632,61.632,0,1,938,410,111
12-5-20-0.8,300,10,474,1654,0.2,0,0.0,0.0,79.252,79.252,0,1,890,0.2,0,0.0,0.0,79.252,79.252,0,1,1006,454,112
13-5-20-0.8,300,30,500,2004,3.1,20,0.0,0.9,151.101,151.101,0,1,1580,1.3,3,0.0,0.0,151.101,151.101,0,1,1380,566,250
14-5-20-0.8,300,60,502,1586,3.2,50,0.0,<0.1,203.813,203.813,0,1,1880,0.5,3,0.0,0.0,203.813,203.813,0,1,1496,575,296
15-5-20-0.8,300,100,518,2000,9.6,272,0.0,0.6,244.777,244.777,0,1,1858,0.7,37,0.0,0.5,244.777,244.777,0,1,1572,513,416
16-5-20-0.8,400,5,874,6918,0.7,0,0.0,0.0,105.842,105.842,0,1,1581,0.3,0,0.0,0.0,105.842,105.842,0,1,1660,660,299
17-5-20-0.8,400,10,840,5902,1.1,6,0.0,<0.1,143.630,143.630,0,1,1657,0.5,0,0.0,0.0,143.630,143.630,0,1,1886,692,372
18-5-20-0.8,400,40,738,4070,17.9,436,0.0,0.3,230.275,230.275,0,1,2950,1.9,20,0.0,<0.1,230.275,230.275,0,1,2483,860,708
19-5-20-0.8,400,80,816,4932,36.5,445,0.0,0.1,312.679,312.679,0,1,3439,1.5,55,0.0,<0.1,312.679,312.679,0,1,2780,904,809
20-5-20-0.8,400,133,760,4170,51.8,580,0.0,1.1,357.998,357.998,0,1,3210,6.0,123,0.0,1.0,357.998,357.998,0,1,2468,710,818
21-5-20-0.8,500,5,1186,12832,3.5,0,0.0,0.0,143.190,143.190,0,1,1826,1.1,0,0.0,0.0,143.190,143.190,0,1,1952,820,252
22-5-20-0.8,500,10,1090,9960,4.7,51,0.0,2.0,171.225,171.225,0,1,3002,5.1,15,0.0,0.1,171.225,171.225,0,1,3057,1195,713
23-5-20-0.8,500,50,1196,11222,69.7,885,0.0,0.5,346.943,346.943,0,1,4914,5.2,17,0.0,<0.1,346.943,346.943,0,1,3598,1236,928
24-5-20-0.8,500,100,1174,11328,TL,109105,<0.1,0.2,422.368,422.440,0,1,7379,11.8,287,0.0,<0.1,422.368,422.368,0,1,3794,1416,1028
25-5-20-0.8,500,167,1258,13962,111.5,432,0.0,1.2,470.463,470.463,0,1,3440,7.5,156,0.0,1.2,470.463,470.463,0,1,3167,1018,733
26-5-20-0.8,600,5,1706,30160,10.9,64,0.0,3.9,206.886,206.886,0,1,5330,13.9,11,0.0,0.2,206.886,206.886,0,1,4644,1722,943
27-5-20-0.8,600,10,1764,32768,124.2,1104,0.0,2.3,278.786,278.786,0,1,10143,17.8,105,0.0,0.8,278.786,278.786,0,1,6537,2321,1722
28-5-20-0.8,600,60,1716,33584,TL,45079,0.3,1.1,472.487,473.775,0,1,14205,209.3,1696,0.0,0.4,472.578,472.578,0,1,6821,2067,2554
29-5-20-0.8,600,120,1714,28968,TL,45701,0.1,1.0,536.967,537.528,0,1,8982,39.0,733,0.0,0.8,537.051,537.051,0,1,4193,1315,1204
30-5-20-0.8,600,200,1570,21010,559.5,4957,0.0,0.7,577.397,577.397,0,1,3884,28.4,1543,0.0,0.7,577.397,577.397,0,1,3597,1066,991
31-5-20-0.8,700,5,2542,64420,40.5,144,0.0,2.7,290.581,290.581,0,1,8641,20.1,41,0.0,1.2,290.581,290.581,0,1,6222,2137,1367
32-5-20-0.8,700,10,2218,50474,104.5,370,0.0,2.1,340.813,340.813,0,1,11763,22.1,29,0.0,0.3,340.813,340.813,0,1,5762,2090,1086
33-5-20-0.8,700,70,2268,49250,TL,11943,0.3,0.6,581.766,583.442,0,1,17415,183.2,2655,0.0,0.3,581.924,581.924,0,1,6153,2142,1465
34-5-20-0.8,700,140,2450,58282,743.6,5011,0.0,0.8,653.349,653.349,0,1,7145,12.7,34,0.0,0.7,653.349,653.349,0,1,3167,977,508
35-5-20-0.8,800,5,3424,143422,133.0,175,0.0,3.3,403.506,403.506,0,1,14220,20.9,47,0.0,1.2,403.506,403.506,0,1,6488,2617,1124
36-5-20-0.8,800,10,3052,91980,TL,31928,1.3,3.9,426.057,431.446,0,1,38162,440.2,692,0.0,2.1,427.424,427.424,0,1,12048,3399,4315
37-5-20-0.8,800,80,2762,71842,TL,9889,0.3,0.8,682.997,684.831,0,1,16066,1474.4,71184,0.0,0.3,683.418,683.418,0,1,7314,2991,1543
38-5-20-0.8,900,5,4520,224438,580.6,475,0.0,3.9,490.736,490.736,0,1,26287,90.1,106,0.0,1.7,490.736,490.736,0,1,10907,3635,2585
39-5-20-0.8,900,10,4450,227826,TL,11465,0.8,2.5,592.560,597.623,0,1,37289,135.4,214,0.0,0.8,592.560,592.560,0,1,10480,5029,1149
40-5-20-0.8,900,90,3552,140956,TL,11338,<0.1,0.4,801.021,801.742,0,1,14512,139.4,859,0.0,0.2,801.052,801.052,0,1,5430,1815,791
1-10-25-0.2,100,5,138,60,0.0,0,0.0,0.0,17.533,17.533,0,1,218,0.1,0,0.0,0.0,17.533,17.533,0,1,232,117,6
2-10-25-0.2,100,10,152,78,0.1,3,0.0,0.0,31.796,31.796,0,1,244,0.1,0,0.0,0.0,31.796,31.796,0,1,262,126,14
3-10-25-0.2,100,10,136,110,0.1,0,0.0,0.0,32.000,32.000,0,1,279,0.1,0,0.0,0.0,32.000,32.000,0,1,277,123,29
4-10-25-0.2,100,20,126,66,0.1,0,0.0,0.0,43.556,43.556,0,1,244,0.1,0,0.0,0.0,43.556,43.556,0,1,269,124,18
5-10-25-0.2,100,33,174,116,0.3,5,0.0,1.5,70.431,70.431,0,1,300,0.3,0,0.0,0.0,70.431,70.431,0,1,367,154,47
6-10-25-0.2,200,5,408,628,0.1,0,0.0,0.0,41.221,41.221,0,1,527,0.1,0,0.0,0.0,41.221,41.221,0,1,555,265,48
7-10-25-0.2,200,10,414,906,0.5,19,0.0,1.1,67.985,67.985,0,1,783,1.1,2,0.0,0.0,67.985,67.985,0,1,833,291,184
8-10-25-0.2,200,20,360,658,0.5,5,0.0,0.6,93.383,93.383,0,1,1013,0.1,0,0.0,0.0,93.383,93.383,0,1,703,276,117
9-10-25-0.2,200,40,418,686,5.0,383,0.0,1.5,140.755,140.755,0,1,1055,0.5,54,0.0,1.2,140.755,140.755,0,1,987,295,292
10-10-25-0.2,200,67,526,1372,116.9,2752,0.0,1.4,184.062,184.062,0,1,2187,4.0,554,0.0,0.7,184.062,184.062,0,1,1845,416,778
11-10-25-0.2,300,5,1004,3968,0.8,31,0.0,0.5,96.199,96.199,0,1,1431,0.2,0,0.0,0.0,96.199,96.199,0,1,1079,409,192
12-10-25-0.2,300,10,814,2756,1.8,67,0.0,0.6,121.767,121.767,0,1,1704,2.0,5,0.0,0.0,121.767,121.767,0,1,1488,483,394
13-10-25-0.2,300,30,902,3342,59.9,2198,0.0,2.8,200.248,200.248,0,1,2939,1.6,67,0.0,1.9,200.248,200.248,0,1,2294,521,916
14-10-25-0.2,300,60,804,2722,TL,136698,<0.1,2.4,247.420,247.654,0,1,4630,10.4,608,0.0,0.3,247.419,247.419,0,1,2995,650,1310
15-10-25-0.2,300,100,910,3470,TL,16248,0.9,1.9,285.476,288.096,2,2,5894,511.6,36049,0.0,1.1,286.008,286.008,0,1,4959,971,2505
16-10-25-0.2,400,5,1974,13784,5.4,69,0.0,4.4,181.421,181.421,0,1,3725,7.0,19,0.0,0.8,181.421,181.421,0,1,3022,787,984
17-10-25-0.2,400,10,1738,11266,117.2,3457,0.0,4.6,220.594,220.594,0,1,7799,15.2,161,0.0,1.3,220.594,220.594,0,1,5046,1136,2119
18-10-25-0.2,400,40,1430,7758,TL,47257,1.5,3.1,307.791,312.528,0,1,10609,580.0,8094,0.0,1.4,308.978,308.978,0,1,9993,1404,6243
19-10-25-0.2,400,80,1644,9618,TL,7049,1.5,2.3,372.828,378.365,1,3,9006,549.9,15017,0.0,1.4,375.663,375.663,0,1,8095,1116,4794
20-10-25-0.2,400,133,1462,8014,TL,15429,0.2,0.8,396.875,397.767,2,2,5300,806.2,41068,0.0,0.7,397.157,397.157,0,1,5759,880,3088
21-10-25-0.2,500,5,2918,27626,11.7,74,0.0,2.5,252.424,252.424,0,1,5620,4.3,5,0.0,<0.1,252.424,252.424,0,1,2803,812,621
