,,,,,bB&C-I,,,,,,,,,bB&C-I+E,,,,,,,,,bB&C-I+L,,,,,,,,,,bB&C-I+E+L,,,,,,,,,
id,|I|,K,#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#OA,#LS,T,N,Gap(%),RGap(%),Obj,UB,#Cut,#MaxSM,#EOA,#LS
31-5-20-0.2,700,5,2542,64420,201.3,2986,0.0,3.7,314.323,314.323,9695,5112,4583,146.4,2260,0.0,4.1,314.323,314.323,7446,3802,3644,101.8,344,0.0,3.6,314.323,314.323,12287,4155,2535,5597,67.2,215,0.0,3.3,314.323,314.323,9940,3677,2609,3654
32-5-20-0.2,700,10,2218,50474,236.8,3886,0.0,1.6,374.871,374.871,8167,4038,4129,111.3,1814,0.0,1.3,374.871,374.871,7355,3693,3662,48.0,276,0.0,0.9,374.871,374.871,8431,3222,2559,2650,50.6,215,0.0,0.8,374.852,374.852,7352,2915,2582,1855
33-5-20-0.2,700,70,2268,49250,TL,68901,0.8,1.5,619.864,624.664,9765,4789,4976,TL,77766,0.7,1.2,620.344,624.548,8791,3448,5343,TL,59974,0.6,1.0,620.199,624.132,14442,5159,3876,5407,TL,49598,0.6,0.8,620.411,624.007,15299,4809,4576,5914
34-5-20-0.2,700,140,2450,58282,TL,90586,0.5,1.0,678.073,681.364,6088,3580,2508,TL,92646,0.4,0.7,678.776,681.243,5500,2906,2594,TL,78325,0.5,0.7,677.796,681.291,11584,4091,2125,5368,TL,81622,0.3,0.5,678.751,681.124,11052,3951,2734,4367
35-5-20-0.2,800,5,3424,143422,30.9,237,0.0,1.6,460.698,460.698,7048,3746,3302,22.0,102,0.0,1.4,460.698,460.698,7266,3252,4014,43.5,65,0.0,1.3,460.698,460.698,8957,3117,4216,1624,27.4,65,0.0,1.1,460.698,460.698,6786,2761,2971,1054
36-5-20-0.2,800,10,3052,91980,TL,43514,0.8,2.9,479.223,483.062,13777,5600,8177,TL,46588,0.7,2.5,479.223,482.428,13380,5100,8280,TL,36075,0.8,2.4,479.213,482.971,20105,5428,6598,8079,TL,43681,0.6,2.1,479.250,481.976,18527,4820,7068,6639
37-5-20-0.2,800,80,2762,71842,TL,73070,0.5,0.9,726.373,730.057,8886,4649,4237,TL,73393,0.5,0.7,726.552,729.891,8121,3686,4435,TL,46999,0.5,0.8,725.878,729.769,13238,4671,3904,4663,TL,51093,0.4,0.6,726.456,729.569,13215,4418,4199,4598
38-5-20-0.2,900,5,4520,224438,355.2,2818,0.0,2.8,563.034,563.034,12012,5263,6749,171.5,1319,0.0,2.2,563.034,563.034,9290,4840,4450,544.8,547,0.0,2.2,563.034,563.034,18812,4784,3224,10804,264.5,393,0.0,2.1,563.034,563.034,13985,4540,3755,5690
39-5-20-0.2,900,10,4450,227826,1854.4,25598,0.0,1.1,682.842,682.842,12627,4732,7895,1691.6,23974,0.0,1.1,682.842,682.842,12217,4424,7793,1694.5,13432,0.0,1.0,682.842,682.842,15198,4675,5769,4754,1304.5,8692,0.0,0.9,682.842,682.842,15296,4642,6718,3936
40-5-20-0.2,900,90,3552,140956,TL,49432,0.3,0.6,852.874,855.534,7906,4599,3307,TL,70539,0.3,0.4,852.974,855.443,7363,3895,3468,TL,30660,0.4,0.6,851.899,855.369,11631,5142,2582,3907,TL,32649,0.3,0.4,852.642,855.197,11523,4667,3254,3602
1-5-20-0.5,100,5,114,64,0.1,0,0.0,0.0,14.600,14.600,247,119,128,0.0,0,0.0,0.0,14.600,14.600,230,111,119,0.1,0,0.0,0.0,14.600,14.600,252,119,125,8,0.1,0,0.0,0.0,14.600,14.600,236,111,115,10
2-5-20-0.5,100,10,124,76,0.1,0,0.0,0.0,26.720,26.720,245,118,127,0.1,0,0.0,0.0,26.720,26.720,253,121,132,0.1,0,0.0,0.0,26.720,26.720,259,118,126,15,1.0,0,0.0,0.0,26.720,26.720,251,116,125,10
3-5-20-0.5,100,10,116,100,0.1,14,0.0,0.1,25.633,25.633,297,136,161,0.1,8,0.0,0.0,25.633,25.633,285,138,147,0.1,0,0.0,0.0,25.633,25.633,301,135,126,40,0.5,0,0.0,0.0,25.633,25.633,299,136,124,39
4-5-20-0.5,100,20,106,56,0.1,1,0.0,0.0,35.420,35.420,295,142,153,0.1,0,0.0,0.0,35.420,35.420,293,140,153,0.3,1,0.0,0.0,35.420,35.420,316,141,150,25,0.1,0,0.0,0.0,35.420,35.420,303,139,152,12
5-5-20-0.5,100,33,130,114,0.1,3,0.0,0.0,62.111,62.111,290,154,136,0.1,0,0.0,0.0,62.111,62.111,284,143,141,0.1,0,0.0,0.0,62.111,62.111,318,150,131,37,0.1,0,0.0,0.0,62.111,62.111,302,143,135,24
6-5-20-0.5,200,5,296,430,0.0,0,0.0,0.0,30.133,30.133,479,234,245,0.0,0,0.0,0.0,30.133,30.133,473,228,245,0.1,0,0.0,0.0,30.133,30.133,502,234,245,23,0.1,0,0.0,0.0,30.133,30.133,484,228,245,11
7-5-20-0.5,200,10,292,592,0.2,3,0.0,0.0,50.326,50.326,610,305,305,0.3,0,0.0,0.0,50.326,50.326,574,275,299,0.1,0,0.0,0.0,50.326,50.326,630,274,268,88,0.1,0,0.0,0.0,50.326,50.326,621,269,273,79
8-5-20-0.5,200,20,278,418,0.1,0,0.0,0.0,69.660,69.660,585,283,302,0.1,0,0.0,0.0,69.660,69.660,569,274,295,0.1,0,0.0,0.0,69.660,69.660,631,283,274,74,0.1,0,0.0,0.0,69.660,69.660,600,274,276,50
