,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
4-2-20-0.01-50,100,20,2,20,0.01,50,100,62,0.0,0,0.0,0.0,26.707726,26.708,0,1,305,131,124,50
4-2-20-0.01-90,100,20,2,20,0.01,90,100,62,0.0,2,0.0,0.0,21.904803,21.905,0,1,273,128,107,38
4-2-20-0.1-10,100,20,2,20,0.1,10,100,62,0.0,0,0.0,0.0,28.505736,28.506,0,1,290,126,126,38
4-2-20-0.1-50,100,20,2,20,0.1,50,100,62,0.0,0,0.0,0.0,26.690067,26.690,0,1,298,131,123,44
4-2-20-0.1-90,100,20,2,20,0.1,90,100,62,0.0,2,0.0,0.0,21.903894,21.904,0,1,277,128,107,42
4-2-20-0.2-10,100,20,2,20,0.2,10,100,62,0.0,0,0.0,0.0,28.465974,28.466,0,1,290,126,126,38
4-2-20-0.2-50,100,20,2,20,0.2,50,100,62,0.0,0,0.0,0.0,26.670447,26.670,0,1,294,129,123,42
4-2-20-0.2-90,100,20,2,20,0.2,90,100,62,0.0,3,0.0,0.0,21.902884,21.903,0,1,259,126,107,26
5-1-20-0.01-10,100,33,1,20,0.01,10,104,140,0.1,41,0.0,0.5,49.971058,49.971,0,1,550,184,154,212
5-1-20-0.01-50,100,33,1,20,0.01,50,104,140,0.1,13,0.0,0.1,48.768597,48.769,0,1,396,152,140,104
5-1-20-0.01-90,100,33,1,20,0.01,90,104,140,1.2,984,0.0,0.0,38.222377,38.222,0,1,387,141,110,136
5-1-20-0.1-10,100,33,1,20,0.1,10,104,140,0.1,40,0.0,0.4,49.753050,49.753,0,1,481,167,138,176
5-1-20-0.1-50,100,33,1,20,0.1,50,104,140,0.0,3,0.0,0.0,48.670604,48.671,0,1,348,140,132,76
5-1-20-0.1-90,100,33,1,20,0.1,90,104,140,6.0,10761,0.0,0.0,38.201361,38.201,0,1,401,147,118,136
5-1-20-0.2-10,100,33,1,20,0.2,10,104,140,0.1,23,0.0,0.2,49.573904,49.574,0,1,470,157,141,172
5-1-20-0.2-50,100,33,1,20,0.2,50,104,140,0.8,973,0.0,0.0,48.585291,48.585,0,1,348,144,138,66
5-1-20-0.2-90,100,33,1,20,0.2,90,104,140,TL,7493698,0.0,0.0,38.178011,38.178,0,1,401,144,111,146
5-2-20-0.01-10,100,33,2,20,0.01,10,110,134,0.1,14,0.0,0.3,51.385473,51.385,0,1,514,176,150,188
5-2-20-0.01-50,100,33,2,20,0.01,50,110,134,0.0,0,0.0,0.0,50.183013,50.183,0,1,358,139,133,86
5-2-20-0.01-90,100,33,2,20,0.01,90,110,134,0.1,12,0.0,0.0,40.423954,40.424,0,1,370,141,107,122
5-2-20-0.1-10,100,33,2,20,0.1,10,110,134,0.1,23,0.0,0.2,51.198736,51.199,0,1,478,162,146,170
5-2-20-0.1-50,100,33,2,20,0.1,50,110,134,0.0,0,0.0,0.0,50.116290,50.116,0,1,356,138,132,86
5-2-20-0.1-90,100,33,2,20,0.1,90,110,134,0.1,14,0.0,0.0,40.403967,40.404,0,1,368,142,108,118
5-2-20-0.2-10,100,33,2,20,0.2,10,110,134,0.1,16,0.0,0.1,51.054335,51.054,0,1,479,158,145,176
5-2-20-0.2-50,100,33,2,20,0.2,50,110,134,0.0,0,0.0,0.0,50.065721,50.066,0,1,331,132,135,64
5-2-20-0.2-90,100,33,2,20,0.2,90,110,134,0.1,11,0.0,0.0,40.381758,40.382,0,1,368,142,108,118
6-1-20-0.01-10,200,5,1,20,0.01,10,220,506,0.0,0,0.0,0.0,22.456362,22.456,0,1,540,237,237,66
