,,,,,,,,,B&C-I,,,,,,,,,,,
id,|I|,K,r,R,theta,low p_i (%),#C1,#CP,T,N,Gap(%),RGap(%),Obj,UB,nCL,mCL,#Cut,#MaxSM,#EOA,#LS
23-2-20-0.01-90,500,50,2,20,0.01,90,718,11700,5.0,368,0.0,0.2,311.684774,311.685,11,4,3060,713,1475,872
23-2-20-0.1-10,500,50,2,20,0.1,10,718,11700,111.5,3352,0.0,0.3,365.779787,365.780,6,3,7141,1453,2086,3602
23-2-20-0.1-50,500,50,2,20,0.1,50,718,11700,156.3,8113,0.0,0.5,350.039179,350.039,9,3,6963,1390,2135,3438
23-2-20-0.1-90,500,50,2,20,0.1,90,718,11700,2.0,100,0.0,0.1,300.466646,300.467,11,4,2802,718,1258,826
23-2-20-0.2-10,500,50,2,20,0.2,10,718,11700,92.1,3187,0.0,0.2,352.832235,352.832,5,3,6906,1432,1850,3624
23-2-20-0.2-50,500,50,2,20,0.2,50,718,11700,141.2,6717,0.0,0.4,337.640677,337.641,6,2,7217,1305,2174,3738
23-2-20-0.2-90,500,50,2,20,0.2,90,718,11700,3.1,216,0.0,0.1,288.243655,288.244,11,4,2661,664,1195,802
24-1-20-0.01-10,500,100,1,20,0.01,10,596,11906,TL,206423,0.2,0.6,441.495691,442.493,16,3,10043,2056,2913,5074
24-1-20-0.01-50,500,100,1,20,0.01,50,596,11906,896.5,78721,0.0,0.3,426.082222,426.082,14,4,7162,1600,2404,3158
24-1-20-0.01-90,500,100,1,20,0.01,90,596,11906,78.9,9550,0.0,0.3,347.579348,347.579,15,8,5732,1053,2139,2540
24-1-20-0.1-10,500,100,1,20,0.1,10,596,11906,TL,116568,0.1,0.5,427.665862,428.253,11,3,9754,1877,2479,5398
24-1-20-0.1-50,500,100,1,20,0.1,50,596,11906,662.0,80115,0.0,0.3,412.400094,412.400,11,3,6812,1361,2379,3072
24-1-20-0.1-90,500,100,1,20,0.1,90,596,11906,85.1,10496,0.0,0.2,335.204000,335.204,14,8,5212,972,1920,2320
24-1-20-0.2-10,500,100,1,20,0.2,10,596,11906,TL,147213,0.0,0.3,413.309600,413.340,8,2,9366,1680,2238,5448
24-1-20-0.2-50,500,100,1,20,0.2,50,596,11906,230.7,17320,0.0,0.2,397.605490,397.605,10,3,5967,1272,1943,2752
24-1-20-0.2-90,500,100,1,20,0.2,90,596,11906,105.1,16420,0.0,0.2,322.113783,322.114,11,7,4622,955,1627,2040
24-2-20-0.01-10,500,100,2,20,0.01,10,698,11804,TL,229519,0.2,0.6,443.641208,444.679,17,3,10235,2017,2912,5306
24-2-20-0.01-50,500,100,2,20,0.01,50,698,11804,1116.1,91731,0.0,0.4,429.001843,429.002,15,4,6641,1462,2273,2906
24-2-20-0.01-90,500,100,2,20,0.01,90,698,11804,74.2,6369,0.0,0.3,352.310454,352.310,15,8,5904,1084,2016,2804
24-2-20-0.1-10,500,100,2,20,0.1,10,698,11804,TL,224646,0.2,0.5,430.077765,431.158,11,3,11216,2068,3138,6010
24-2-20-0.1-50,500,100,2,20,0.1,50,698,11804,191.9,13048,0.0,0.3,415.977692,415.978,11,3,6282,1299,2025,2958
24-2-20-0.1-90,500,100,2,20,0.1,90,698,11804,839.8,156405,0.0,0.3,340.585009,340.585,13,7,5761,987,2240,2534
24-2-20-0.2-10,500,100,2,20,0.2,10,698,11804,3170.1,127567,0.0,0.3,416.618291,416.618,7,2,9946,1723,2291,5932
24-2-20-0.2-50,500,100,2,20,0.2,50,698,11804,80.4,4037,0.0,0.2,402.161801,402.162,10,3,5753,1210,1721,2822
24-2-20-0.2-90,500,100,2,20,0.2,90,698,11804,114.8,15074,0.0,0.3,328.420575,328.421,10,7,5358,906,1760,2692
25-1-20-0.01-10,500,167,1,20,0.01,10,610,14610,TL,142633,0.4,0.8,483.884399,486.081,21,5,9768,1693,2655,5420
25-1-20-0.01-50,500,167,1,20,0.01,50,610,14610,TL,214763,0.3,0.6,473.259088,474.488,22,5,9830,2037,3115,4678
25-1-20-0.01-90,500,167,1,20,0.01,90,610,14610,31.5,1792,0.0,0.1,418.812375,418.812,14,5,4411,841,1398,2172
25-1-20-0.1-10,500,167,1,20,0.1,10,610,14610,TL,162545,0.3,0.6,469.729018,470.996,14,5,10130,1636,2700,5794
25-1-20-0.1-50,500,167,1,20,0.1,50,610,14610,TL,123144,0.1,0.5,458.482938,459.040,20,4,9075,1739,2958,4378
25-1-20-0.1-90,500,167,1,20,0.1,90,610,14610,66.6,10177,0.0,0.1,406.781326,406.781,13,4,3765,771,1272,1722
25-1-20-0.2-10,500,167,1,20,0.2,10,610,14610,TL,105743,0.3,0.5,453.795161,455.122,12,4,10114,1512,2282,6320
25-1-20-0.2-50,500,167,1,20,0.2,50,610,14610,TL,206770,0.1,0.4,442.779348,443.175,13,4,7853,1325,2606,3922
25-1-20-0.2-90,500,167,1,20,0.2,90,610,14610,33.6,2093,0.0,0.1,393.783171,393.783,12,3,4546,772,1476,2298
25-2-20-0.01-10,500,167,2,20,0.01,10,716,14504,TL,191088,0.3,0.6,485.423275,487.061,19,5,10654,1735,2983,5936
25-2-20-0.01-50,500,167,2,20,0.01,50,716,14504,TL,144203,0.3,0.7,474.660037,475.927,21,5,8938,1847,2717,4374
25-2-20-0.01-90,500,167,2,20,0.01,90,716,14504,64.2,8376,0.0,0.2,424.695082,424.695,12,5,4810,811,1395,2604
25-2-20-0.1-10,500,167,2,20,0.1,10,716,14504,TL,105844,0.3,0.6,471.082838,472.575,16,4,12198,2005,3271,6922
25-2-20-0.1-50,500,167,2,20,0.1,50,716,14504,TL,233980,0.2,0.6,460.556689,461.527,17,5,8777,1551,2620,4606
25-2-20-0.1-90,500,167,2,20,0.1,90,716,14504,37.0,2023,0.0,0.2,413.138024,413.138,12,4,5306,790,1700,2816
25-2-20-0.2-10,500,167,2,20,0.2,10,716,14504,TL,123703,0.3,0.6,456.825368,458.237,11,4,11423,1513,2490,7420
25-2-20-0.2-50,500,167,2,20,0.2,50,716,14504,TL,222386,0.2,0.5,445.632163,446.468,15,4,8800,1505,2765,4530
25-2-20-0.2-90,500,167,2,20,0.2,90,716,14504,76.0,8823,0.0,0.3,400.630142,400.630,11,3,5497,857,1524,3116
26-1-20-0.01-10,600,5,1,20,0.01,10,742,31124,2.7,15,0.0,0.4,263.858658,263.859,0,1,4692,1224,2144,1324
26-1-20-0.01-50,600,5,1,20,0.01,50,742,31124,0.8,0,0.0,0.0,250.203600,250.204,2,2,2408,766,1044,598
26-1-20-0.01-90,600,5,1,20,0.01,90,742,31124,1.6,0,0.0,0.0,168.046548,168.047,2,2,2908,843,1273,792
26-1-20-0.1-10,600,5,1,20,0.1,10,742,31124,2.9,9,0.0,0.2,257.160729,257.161,0,1,5071,1300,2239,1532
26-1-20-0.1-50,600,5,1,20,0.1,50,742,31124,1.1,3,0.0,0.0,242.441031,242.441,1,2,2344,726,1012,606
26-1-20-0.1-90,600,5,1,20,0.1,90,742,31124,0.9,0,0.0,0.0,162.511417,162.511,1,2,1995,756,929,310
26-1-20-0.2-10,600,5,1,20,0.2,10,742,31124,2.5,7,0.0,0.3,249.718587,249.719,0,1,4307,1177,1918,1212
26-1-20-0.2-50,600,5,1,20,0.2,50,742,31124,0.6,0,0.0,0.0,234.982480,234.982,1,2,2274,700,950,624
26-1-20-0.2-90,600,5,1,20,0.2,90,742,31124,0.8,0,0.0,0.0,156.659342,156.659,1,2,2382,798,837,747
26-2-20-0.01-10,600,5,2,20,0.01,10,912,30954,2.4,13,0.0,0.5,265.137292,265.137,0,1,4327,1141,1830,1356
26-2-20-0.01-50,600,5,2,20,0.01,50,912,30954,0.7,0,0.0,0.0,251.546656,251.547,2,2,2369,762,1031,576
26-2-20-0.01-90,600,5,2,20,0.01,90,912,30954,1.7,2,0.0,0.0,168.634126,168.634,2,2,2845,833,1236,776
26-2-20-0.1-10,600,5,2,20,0.1,10,912,30954,2.6,11,0.0,0.3,258.644453,258.644,0,1,4573,1209,2006,1358
26-2-20-0.1-50,600,5,2,20,0.1,50,912,30954,0.9,0,0.0,0.0,244.217792,244.218,1,2,2262,700,1002,560
26-2-20-0.1-90,600,5,2,20,0.1,90,912,30954,1.0,0,0.0,0.0,163.364885,163.365,1,2,2056,760,988,308
26-2-20-0.2-10,600,5,2,20,0.2,10,912,30954,2.9,13,0.0,0.4,251.430186,251.430,0,1,4693,1244,2202,1247
26-2-20-0.2-50,600,5,2,20,0.2,50,912,30954,0.9,0,0.0,0.0,236.958543,236.959,1,2,2902,938,874,1090
26-2-20-0.2-90,600,5,2,20,0.2,90,912,30954,0.7,0,0.0,0.0,157.580321,157.580,1,2,2387,807,836,744
27-1-20-0.01-10,600,10,1,20,0.01,10,746,33786,4.4,93,0.0,0.4,355.802462,355.802,2,2,4267,1082,1843,1342
27-1-20-0.01-50,600,10,1,20,0.01,50,746,33786,1.7,11,0.0,0.0,341.344129,341.344,2,3,3037,871,1246,920
27-1-20-0.01-90,600,10,1,20,0.01,90,746,33786,2.2,16,0.0,0.2,252.774459,252.774,2,2,3278,1083,1341,854
27-1-20-0.1-10,600,10,1,20,0.1,10,746,33786,5.6,102,0.0,0.5,343.401485,343.401,2,2,4272,1020,1745,1507
27-1-20-0.1-50,600,10,1,20,0.1,50,746,33786,1.2,2,0.0,0.0,329.385334,329.385,2,3,2428,825,1057,546
27-1-20-0.1-90,600,10,1,20,0.1,90,746,33786,2.4,17,0.0,0.2,244.756968,244.757,2,2,3942,1144,1320,1478
27-1-20-0.2-10,600,10,1,20,0.2,10,746,33786,3.7,42,0.0,0.4,330.465067,330.465,1,2,3947,994,1542,1411
27-1-20-0.2-50,600,10,1,20,0.2,50,746,33786,1.5,2,0.0,0.0,316.097784,316.098,2,3,2672,849,1221,602
27-1-20-0.2-90,600,10,1,20,0.2,90,746,33786,2.5,19,0.0,0.1,236.232629,236.233,1,2,3973,1100,1585,1288
27-2-20-0.01-10,600,10,2,20,0.01,10,920,33612,6.2,84,0.0,0.4,356.497556,356.498,2,2,4146,1077,1717,1352
27-2-20-0.01-50,600,10,2,20,0.01,50,920,33612,1.6,11,0.0,0.0,342.057748,342.058,2,3,2764,817,1173,774
27-2-20-0.01-90,600,10,2,20,0.01,90,920,33612,2.9,13,0.0,0.2,254.061374,254.061,2,2,3791,1128,1545,1118
27-2-20-0.1-10,600,10,2,20,0.1,10,920,33612,7.3,92,0.0,0.5,344.662050,344.662,1,2,4511,1168,1831,1512
27-2-20-0.1-50,600,10,2,20,0.1,50,920,33612,1.4,5,0.0,0.0,330.445894,330.446,2,3,2429,822,1095,512
27-2-20-0.1-90,600,10,2,20,0.1,90,920,33612,2.0,22,0.0,0.2,246.295425,246.295,1,2,3845,1263,1276,1306
27-2-20-0.2-10,600,10,2,20,0.2,10,920,33612,3.0,37,0.0,0.2,332.313387,332.313,1,2,3517,914,1465,1138
27-2-20-0.2-50,600,10,2,20,0.2,50,920,33612,1.7,7,0.0,0.0,317.589175,317.589,2,3,3244,1118,1334,792
27-2-20-0.2-90,600,10,2,20,0.2,90,920,33612,2.0,13,0.0,0.1,238.217578,238.218,1,2,3694,1151,1343,1200
28-1-20-0.01-10,600,60,1,20,0.01,10,760,34540,TL,168844,0.1,0.4,520.377208,521.102,8,3,8742,2082,3225,3435
28-1-20-0.01-50,600,60,1,20,0.01,50,760,34540,TL,168412,0.1,0.3,511.022340,511.525,10,4,8590,2063,3497,3030
28-1-20-0.01-90,600,60,1,20,0.01,90,760,34540,11.7,411,0.0,0.1,464.864010,464.864,13,7,3233,964,1419,850
28-1-20-0.1-10,600,60,1,20,0.1,10,760,34540,TL,200282,0.1,0.3,501.652799,502.092,8,2,8898,2103,3158,3637
28-1-20-0.1-50,600,60,1,20,0.1,50,760,34540,TL,141112,0.0,0.3,491.586649,491.864,7,4,7363,1847,2825,2691
28-1-20-0.1-90,600,60,1,20,0.1,90,760,34540,29.7,2902,0.0,0.1,444.685067,444.685,12,7,3585,1008,1801,776
28-1-20-0.2-10,600,60,1,20,0.2,10,760,34540,TL,207433,0.1,0.3,481.165219,481.601,3,3,8752,1906,3022,3824
28-1-20-0.2-50,600,60,1,20,0.2,50,760,34540,1953.8,174843,0.0,0.2,470.499217,470.499,5,4,7369,1468,4097,1804
28-1-20-0.2-90,600,60,1,20,0.2,90,760,34540,18.3,930,0.0,0.1,422.817900,422.818,9,7,3175,888,1407,880
28-2-20-0.01-10,600,60,2,20,0.01,10,924,34376,TL,147166,0.2,0.4,520.933545,521.788,10,3,9468,2437,3074,3957
28-2-20-0.01-50,600,60,2,20,0.01,50,924,34376,TL,155048,0.1,0.4,511.312325,511.854,8,4,8466,2234,3345,2887
28-2-20-0.01-90,600,60,2,20,0.01,90,924,34376,52.4,6208,0.0,0.2,466.361882,466.362,11,7,4089,1082,1851,1156
28-2-20-0.1-10,600,60,2,20,0.1,10,924,34376,TL,186900,0.1,0.4,503.342793,504.013,5,3,8114,1918,3173,3023
28-2-20-0.1-50,600,60,2,20,0.1,50,924,34376,TL,246641,0.0,0.3,493.062367,493.339,9,4,6888,1676,3142,2070
28-2-20-0.1-90,600,60,2,20,0.1,90,924,34376,44.4,4418,0.0,0.2,446.821535,446.822,11,7,4238,995,1871,1372
28-2-20-0.2-10,600,60,2,20,0.2,10,924,34376,TL,198725,0.1,0.3,484.767726,485.071,2,2,9120,1933,3115,4072
28-2-20-0.2-50,600,60,2,20,0.2,50,924,34376,2466.3,231752,0.0,0.2,473.278523,473.279,5,4,6442,1553,2794,2095
28-2-20-0.2-90,600,60,2,20,0.2,90,924,34376,20.3,1013,0.0,0.1,425.729244,425.729,9,7,3466,967,1365,1134
29-1-20-0.01-10,600,120,1,20,0.01,10,746,29936,TL,120217,0.3,0.5,573.104105,574.778,21,3,10604,2508,3756,4340
29-1-20-0.01-50,600,120,1,20,0.01,50,746,29936,TL,114327,0.1,0.3,562.872210,563.509,24,3,8006,1855,3035,3116
29-1-20-0.01-90,600,120,1,20,0.01,90,746,29936,1760.6,280415,0.0,0.3,489.160718,489.161,18,4,6778,1162,2612,3004
29-1-20-0.1-10,600,120,1,20,0.1,10,746,29936,TL,130619,0.3,0.5,552.804375,554.339,20,4,9594,2119,3302,4173
29-1-20-0.1-50,600,120,1,20,0.1,50,746,29936,TL,112434,0.1,0.3,543.209376,543.571,20,3,7359,1760,2680,2919
29-1-20-0.1-90,600,120,1,20,0.1,90,746,29936,70.5,3411,0.0,0.2,471.442289,471.442,15,4,5021,1009,1836,2176
29-1-20-0.2-10,600,120,1,20,0.2,10,746,29936,TL,94712,0.2,0.4,531.243929,532.614,11,3,11120,1984,3047,6089
29-1-20-0.2-50,600,120,1,20,0.2,50,746,29936,TL,101059,0.0,0.2,521.723987,521.964,13,3,7319,1497,2603,3219
29-1-20-0.2-90,600,120,1,20,0.2,90,746,29936,48.3,2941,0.0,0.1,452.336880,452.337,15,4,4374,1068,1806,1500
29-2-20-0.01-10,600,120,2,20,0.01,10,914,29768,TL,77663,0.4,0.6,572.959517,575.298,20,3,10538,2569,3329,4640
29-2-20-0.01-50,600,120,2,20,0.01,50,914,29768,TL,138110,0.1,0.4,563.572285,564.340,22,4,8951,2282,3471,3198
29-2-20-0.01-90,600,120,2,20,0.01,90,914,29768,506.8,26983,0.0,0.4,491.458110,491.458,16,5,7437,1389,2266,3782
29-2-20-0.1-10,600,120,2,20,0.1,10,914,29768,TL,74771,0.3,0.6,553.979743,555.858,19,4,11680,2357,3035,6288
29-2-20-0.1-50,600,120,2,20,0.1,50,914,29768,TL,108342,0.0,0.3,544.988021,545.279,19,3,7794,1719,2686,3389
29-2-20-0.1-90,600,120,2,20,0.1,90,914,29768,993.5,117826,0.0,0.3,474.109260,474.109,15,4,5712,1080,2484,2148
29-2-20-0.2-10,600,120,2,20,0.2,10,914,29768,TL,72382,0.2,0.4,534.267569,535.418,11,2,11112,1946,2541,6625
29-2-20-0.2-50,600,120,2,20,0.2,50,914,29768,TL,152754,0.1,0.3,524.890692,525.355,14,3,7751,1444,2669,3638
29-2-20-0.2-90,600,120,2,20,0.2,90,914,29768,235.1,23996,0.0,0.2,455.520652,455.521,13,4,5270,1096,2232,1942
30-1-20-0.01-10,600,200,1,20,0.01,10,686,21894,TL,69301,0.3,0.4,593.374209,595.029,19,7,10305,2834,3241,4230
30-1-20-0.01-50,600,200,1,20,0.01,50,686,21894,TL,115983,0.3,0.5,589.788766,591.403,22,7,9656,2385,3849,3422
30-1-20-0.01-90,600,200,1,20,0.01,90,686,21894,74.1,3203,0.0,0.2,554.070131,554.070,20,5,5996,1102,2318,2576
30-1-20-0.1-10,600,200,1,20,0.1,10,686,21894,TL,63580,0.3,0.5,574.120964,575.688,16,5,11884,2174,3025,6685
30-1-20-0.1-50,600,200,1,20,0.1,50,686,21894,TL,99781,0.3,0.6,569.092464,570.626,16,6,10024,2030,4014,3980
30-1-20-0.1-90,600,200,1,20,0.1,90,686,21894,160.1,8850,0.0,0.2,535.277053,535.277,20,5,6241,1064,2377,2800
30-1-20-0.2-10,600,200,1,20,0.2,10,686,21894,TL,93856,0.4,0.7,553.634397,556.172,10,4,13636,2013,3105,8518
30-1-20-0.2-50,600,200,1,20,0.2,50,686,21894,TL,78643,0.2,0.5,548.100099,549.445,15,5,9532,1705,3007,4820
30-1-20-0.2-90,600,200,1,20,0.2,90,686,21894,350.1,22126,0.0,0.2,514.801060,514.801,19,5,6405,991,2434,2980
30-2-20-0.01-10,600,200,2,20,0.01,10,842,21738,TL,64239,0.2,0.4,593.906849,595.337,18,7,9831,2537,2994,4300
30-2-20-0.01-50,600,200,2,20,0.01,50,842,21738,TL,91481,0.3,0.6,589.942213,591.828,20,7,10751,2658,3891,4202
30-2-20-0.01-90,600,200,2,20,0.01,90,842,21738,828.9,55589,0.0,0.3,558.314721,558.315,21,6,7810,1262,2744,3804
30-2-20-0.1-10,600,200,2,20,0.1,10,842,21738,TL,87838,0.5,0.7,574.771535,577.566,20,4,11222,1913,2901,6408
30-2-20-0.1-50,600,200,2,20,0.1,50,842,21738,TL,104151,0.3,0.6,570.381433,572.132,17,6,10457,1992,3953,4512
30-2-20-0.1-90,600,200,2,20,0.1,90,842,21738,1347.4,66781,0.0,0.4,540.034538,540.035,19,5,7622,1206,2712,3704
30-2-20-0.2-10,600,200,2,20,0.2,10,842,21738,TL,79564,0.3,0.5,559.201541,560.684,10,4,12862,1931,2495,8436
30-2-20-0.2-50,600,200,2,20,0.2,50,842,21738,TL,114900,0.2,0.5,551.798306,553.203,13,4,10563,1836,3043,5684
30-2-20-0.2-90,600,200,2,20,0.2,90,842,21738,TL,178542,0.1,0.4,520.214516,520.642,19,5,7565,1140,2717,3708
31-1-20-0.01-10,700,5,1,20,0.01,10,908,66054,6.6,37,0.0,0.9,369.698079,369.698,0,1,5904,1740,2762,1402
31-1-20-0.01-50,700,5,1,20,0.01,50,908,66054,4.6,11,0.0,0.5,359.199374,359.199,1,2,5544,1792,2113,1639
31-1-20-0.01-90,700,5,1,20,0.01,90,908,66054,2.7,3,0.0,0.0,285.673047,285.673,1,2,2810,988,1266,556
31-1-20-0.1-10,700,5,1,20,0.1,10,908,66054,7.5,57,0.0,1.1,358.642924,358.643,0,1,6327,1904,2322,2101
31-1-20-0.1-50,700,5,1,20,0.1,50,908,66054,4.8,17,0.0,0.7,347.218919,347.219,0,1,4928,1658,2084,1186
31-1-20-0.1-90,700,5,1,20,0.1,90,908,66054,1.3,0,0.0,0.0,276.190313,276.190,1,2,2678,1002,1112,564
31-1-20-0.2-10,700,5,1,20,0.2,10,908,66054,7.7,41,0.0,1.5,347.076000,347.076,0,1,6752,2184,2107,2461
31-1-20-0.2-50,700,5,1,20,0.2,50,908,66054,4.5,17,0.0,0.6,334.973295,334.973,0,1,5732,1784,2396,1552
31-1-20-0.2-90,700,5,1,20,0.2,90,908,66054,1.2,0,0.0,0.0,265.653943,265.654,1,2,2550,1014,1092,444
31-2-20-0.01-10,700,5,2,20,0.01,10,1186,65776,7.9,43,0.0,0.9,370.610592,370.611,0,1,8549,2110,4407,2032
31-2-20-0.01-50,700,5,2,20,0.01,50,1186,65776,5.6,17,0.0,0.5,360.057381,360.057,1,2,6657,2086,2718,1853
31-2-20-0.01-90,700,5,2,20,0.01,90,1186,65776,2.5,0,0.0,0.0,288.844386,288.844,1,2,2878,1002,1117,759
31-2-20-0.1-10,700,5,2,20,0.1,10,1186,65776,8.3,39,0.0,1.0,359.848088,359.848,0,1,7384,2094,3355,1935
31-2-20-0.1-50,700,5,2,20,0.1,50,1186,65776,4.9,11,0.0,0.6,348.305006,348.305,0,1,5566,1929,2108,1529
31-2-20-0.1-90,700,5,2,20,0.1,90,1186,65776,1.6,0,0.0,0.0,279.490756,279.491,1,2,2705,995,1093,617
31-2-20-0.2-10,700,5,2,20,0.2,10,1186,65776,10.8,37,0.0,1.2,348.484239,348.484,0,1,6806,2171,2572,2063
31-2-20-0.2-50,700,5,2,20,0.2,50,1186,65776,5.5,19,0.0,0.5,336.356256,336.356,0,1,5928,1759,2769,1400
31-2-20-0.2-90,700,5,2,20,0.2,90,1186,65776,1.4,0,0.0,0.0,269.097834,269.098,1,2,2529,1006,1079,444
32-1-20-0.01-10,700,10,1,20,0.01,10,904,51788,26.8,197,0.0,0.8,420.547978,420.548,0,1,8905,2622,2885,3398
32-1-20-0.01-50,700,10,1,20,0.01,50,904,51788,11.3,81,0.0,0.7,390.528693,390.529,2,2,6425,1769,2208,2448
32-1-20-0.01-90,700,10,1,20,0.01,90,904,51788,5.8,19,0.0,0.3,269.876221,269.876,2,3,6109,1562,2629,1918
32-1-20-0.1-10,700,10,1,20,0.1,10,904,51788,21.3,182,0.0,0.8,406.975679,406.976,0,1,6985,2147,2406,2432
32-1-20-0.1-50,700,10,1,20,0.1,50,904,51788,10.9,89,0.0,0.7,377.253473,377.253,1,2,6906,1967,1871,3068
32-1-20-0.1-90,700,10,1,20,0.1,90,904,51788,5.2,23,0.0,0.3,259.783125,259.783,1,2,5416,1539,2065,1812
32-1-20-0.2-10,700,10,1,20,0.2,10,904,51788,19.3,137,0.0,0.7,391.895347,391.895,0,1,6656,2058,2332,2266
32-1-20-0.2-50,700,10,1,20,0.2,50,904,51788,11.6,101,0.0,0.7,362.802709,362.803,1,2,6896,1923,2322,2651
32-1-20-0.2-90,700,10,1,20,0.2,90,904,51788,4.0,19,0.0,0.2,249.119298,249.119,1,2,5225,1487,1938,1800
32-2-20-0.01-10,700,10,2,20,0.01,10,1152,51540,29.8,213,0.0,0.9,421.012070,421.012,0,1,8940,2553,2500,3887
32-2-20-0.01-50,700,10,2,20,0.01,50,1152,51540,15.9,131,0.0,0.8,390.701166,390.701,2,2,6782,1839,2399,2544
32-2-20-0.01-90,700,10,2,20,0.01,90,1152,51540,6.5,53,0.0,0.5,271.579690,271.580,2,3,6236,1542,2824,1870
32-2-20-0.1-10,700,10,2,20,0.1,10,1152,51540,22.4,169,0.0,0.8,407.914867,407.915,0,1,7189,2037,2560,2592
32-2-20-0.1-50,700,10,2,20,0.1,50,1152,51540,13.2,133,0.0,0.8,377.890347,377.890,1,2,7485,2067,2328,3090
32-2-20-0.1-90,700,10,2,20,0.1,90,1152,51540,3.9,27,0.0,0.4,262.156535,262.157,1,2,4912,1462,1912,1538
32-2-20-0.2-10,700,10,2,20,0.2,10,1152,51540,14.6,111,0.0,0.8,393.362419,393.362,0,1,6760,2053,2236,2471
32-2-20-0.2-50,700,10,2,20,0.2,50,1152,51540,14.9,105,0.0,0.8,363.917965,363.918,0,1,7060,1942,2365,2753
32-2-20-0.2-90,700,10,2,20,0.2,90,1152,51540,4.7,35,0.0,0.4,251.786617,251.787,1,2,5234,1377,2065,1792
33-1-20-0.01-10,700,70,1,20,0.01,10,896,50622,TL,104670,0.1,0.3,648.821474,649.778,11,2,9722,2739,3526,3457
33-1-20-0.01-50,700,70,1,20,0.01,50,896,50622,TL,264847,0.0,0.2,639.167418,639.362,13,4,7041,2190,2961,1890
33-1-20-0.01-90,700,70,1,20,0.01,90,896,50622,29.8,1339,0.0,0.1,576.839734,576.840,18,5,3708,1149,1703,856
33-1-20-0.1-10,700,70,1,20,0.1,10,896,50622,TL,67027,0.1,0.3,624.181585,624.712,7,2,8784,2330,2760,3694
33-1-20-0.1-50,700,70,1,20,0.1,50,896,50622,1097.0,110871,0.0,0.1,614.389449,614.389,11,3,6746,1862,2986,1898
33-1-20-0.1-90,700,70,1,20,0.1,90,896,50622,34.2,1621,0.0,0.1,551.874737,551.875,17,5,4192,1299,1893,1000
33-1-20-0.2-10,700,70,1,20,0.2,10,896,50622,TL,84696,0.0,0.2,597.397628,597.693,3,2,9375,2197,3476,3702
33-1-20-0.2-50,700,70,1,20,0.2,50,896,50622,389.8,34980,0.0,0.1,587.549727,587.550,6,3,6357,1658,3085,1614
33-1-20-0.2-90,700,70,1,20,0.2,90,896,50622,61.7,5187,0.0,0.1,524.408143,524.408,16,4,4317,1176,2155,986
33-2-20-0.01-10,700,70,2,20,0.01,10,1140,50378,TL,104975,0.1,0.3,649.410527,650.323,11,2,9993,2545,3601,3847
33-2-20-0.01-50,700,70,2,20,0.01,50,1140,50378,TL,202864,0.0,0.2,639.821263,640.144,14,4,9303,2405,4237,2661
33-2-20-0.01-90,700,70,2,20,0.01,90,1140,50378,61.5,3754,0.0,0.2,579.898117,579.898,17,5,3969,1141,1866,962
33-2-20-0.1-10,700,70,2,20,0.1,10,1140,50378,TL,97932,0.1,0.3,625.822103,626.736,5,2,10256,2286,3906,4064
33-2-20-0.1-50,700,70,2,20,0.1,50,1140,50378,931.9,86718,0.0,0.1,616.434538,616.435,11,3,6737,1916,2783,2038
33-2-20-0.1-90,700,70,2,20,0.1,90,1140,50378,44.5,2593,0.0,0.1,555.813904,555.814,17,4,3709,1129,1702,878
33-2-20-0.2-10,700,70,2,20,0.2,10,1140,50378,TL,66781,0.0,0.2,601.019947,601.270,2,2,9123,2327,2560,4236
33-2-20-0.2-50,700,70,2,20,0.2,50,1140,50378,254.3,17654,0.0,0.1,591.008815,591.009,8,3,5784,1786,2204,1794
33-2-20-0.2-90,700,70,2,20,0.2,90,1140,50378,66.7,4196,0.0,0.1,529.468653,529.469,15,4,4305,1062,2199,1044
34-1-20-0.01-10,700,140,1,20,0.01,10,902,59830,TL,70210,0.1,0.3,693.369905,694.153,13,6,8378,2708,2248,3422
34-1-20-0.01-50,700,140,1,20,0.01,50,902,59830,TL,88790,0.2,0.4,688.849577,690.341,20,6,7889,2518,2756,2615
34-1-20-0.01-90,700,140,1,20,0.01,90,902,59830,TL,373218,0.0,0.2,640.710878,640.787,23,6,6767,1499,3190,2078
34-1-20-0.1-10,700,140,1,20,0.1,10,902,59830,TL,56863,0.1,0.2,668.017788,668.763,11,5,12694,3356,2559,6779
34-1-20-0.1-50,700,140,1,20,0.1,50,902,59830,TL,102181,0.1,0.3,662.960338,663.793,13,6,8510,2179,3049,3282
34-1-20-0.1-90,700,140,1,20,0.1,90,902,59830,2436.7,264355,0.0,0.1,615.016181,615.016,22,6,6252,1378,2986,1888
34-1-20-0.2-10,700,140,1,20,0.2,10,902,59830,TL,81749,0.1,0.2,642.110312,642.517,3,3,9615,2426,2001,5188
34-1-20-0.2-50,700,140,1,20,0.2,50,902,59830,TL,82889,0.1,0.2,635.219301,635.642,10,5,8043,1855,2479,3709
34-1-20-0.2-90,700,140,1,20,0.2,90,902,59830,1122.8,81370,0.0,0.1,587.003912,587.004,19,6,7176,1404,2976,2796
34-2-20-0.01-10,700,140,2,20,0.01,10,1162,59570,TL,58490,0.1,0.3,693.645819,694.516,13,5,8733,2811,2451,3471
34-2-20-0.01-50,700,140,2,20,0.01,50,1162,59570,TL,104102,0.2,0.3,689.695890,690.882,17,7,8674,2654,3142,2878
